State_Name,District_Name,Composite_Quartile,Composite_Score,tag_food,tag_food_nc,Irrigation_Category,Gross_Irrigated_Area_Pct
HARYANA,Bhiwani,Q4,74.2341576656895,Medium,Medium,Highly Irrigated,71.59355950575784
HARYANA,Charki Dadri,Q4,78.22365683561236,Low,Low,Highly Irrigated,74.54729912196831
HARYANA,Faridabad,Q4,84.7741257061277,Low,Low,Moderately Irrigated,44.70441663700337
HARYANA,Fatehabad,Q4,95.43995335659375,Medium,Medium,Highly Irrigated,88.35230307274173
HARYANA,Gurugram,Q4,84.46666057537665,,,Highly Irrigated,93.77545657600841
HARYANA,Hisar,Q4,83.46846378353683,Medium,Medium,Highly Irrigated,75.04006846265719
HARYANA,Jhajjar,Q4,83.90110642871971,Medium,Medium,Highly Irrigated,60.21500876252256
HARYANA,Jind,Q4,80.9643207125217,Medium,Medium,Highly Irrigated,78.7397607412649
HARYANA,Kaithal,Q4,90.48715324208982,Medium,Medium,Highly Irrigated,81.09284854342957
HARYANA,Karnal,Q4,90.51034675973837,High,High,Highly Irrigated,81.39743594949869
HARYANA,Kurukshetra,Q4,94.75737332399638,Medium,Medium,Highly Irrigated,97.77574414223828
HARYANA,Mahendragarh,Q4,87.13950721159524,Medium,Medium,Moderately Irrigated,47.8135737721859
HARYANA,Palwal,Q4,79.32297104406045,Low,Low,Highly Irrigated,48.21832701483287
HARYANA,Panchkula,Q4,81.33661079303421,Low,Low,Moderately Irrigated,31.3509130649369
HARYANA,Panipat,Q4,86.63626147911975,Medium,Medium,Highly Irrigated,75.00616237867817
HARYANA,Rewari,Q4,89.38505744379539,Low,Low,Highly Irrigated,83.37448068065676
HARYANA,Rohtak,Q4,76.19549914270026,Medium,Medium,Highly Irrigated,76.02653928449418
HARYANA,Sirsa,Q4,91.54477431554784,High,High,Highly Irrigated,86.61448287485253
HARYANA,Sonipat,Q4,80.77251622100835,Medium,Medium,Highly Irrigated,72.45785791098139
HARYANA,Yamunanagar,Q4,91.50680149165004,Medium,Medium,Highly Irrigated,67.19780889324738
JAMMU & KASHMIR,Bandipore,Q3,58.56577278583511,,,Moderately Irrigated,41.03674073262281
KARNATAKA,Ballari,Q3,56.4553288004014,Medium,Medium,Moderately Irrigated,40.2849193711676
KARNATAKA,Bangalore,Q4,76.26487936529423,,,Sparsely Irrigated,12.37588173528117
KARNATAKA,Bengaluru Rural,Q3,70.54107084432826,Low,Low,Rainfed,4.955153856768318
KARNATAKA,Chikkaballapura,Q3,59.61513433755413,Low,Low,Sparsely Irrigated,11.87364184513759
KARNATAKA,Chikkamagaluru,Q3,61.20296218825916,Low,Low,Sparsely Irrigated,16.05262611224596
KARNATAKA,Dakshina Kannada,Q4,84.5979430959959,Low,Low,Moderately Irrigated,31.37305422712676
KARNATAKA,Davanagere,Q4,72.70501511678575,Medium,Medium,Moderately Irrigated,36.93686162618545
KARNATAKA,Hassan,Q3,61.55300044308371,Medium,Medium,Sparsely Irrigated,19.36592403886496
KARNATAKA,Kolar,Q3,62.7480496137136,Low,Low,Sparsely Irrigated,14.00847010128918
KARNATAKA,Mandya,Q3,66.26025394896733,Medium,Medium,Moderately Irrigated,36.36150159359671
KARNATAKA,Ramanagara,Q3,70.93672350034304,Low,Low,Sparsely Irrigated,8.145271864955381
KARNATAKA,Shivamogga,Q4,76.59455470554663,Medium,Medium,Sparsely Irrigated,20.99119587064629
KARNATAKA,Udupi,Q3,66.99478591827105,Low,Low,Sparsely Irrigated,12.12525880498028
KARNATAKA,Uttara Kannada,Q4,75.12474163030068,Low,Low,Rainfed,5.990461403034511
KERALA,Alappuzha,Q3,60.41281292481236,Low,Low,Moderately Irrigated,24.45979391678663
KERALA,Idukki,Q3,63.83514833502008,Low,Low,Sparsely Irrigated,10.96652059918227
KERALA,Kannur,Q3,60.73722731250361,Low,Low,Rainfed,4.319583187484854
KERALA,Kasaragod,Q3,62.73931504995925,Low,Low,Moderately Irrigated,28.34118273199241
KERALA,Kollam,Q3,58.02021501195976,Low,Low,Rainfed,1.961107448912327
KERALA,Kottayam,Q3,58.98637732534874,Low,Low,Sparsely Irrigated,8.903929378249153
