State_Name,District_Name,Composite_Quartile,Composite_Score,tag_food,tag_food_nc,Irrigation_Category,Gross_Irrigated_Area_Pct
MADHYA PRADESH,Seoni,Q2,53.18755838269043,Medium,Medium,Moderately Irrigated,34.08243764857477
MADHYA PRADESH,Shivpuri,Q2,49.70391187060001,Medium,Medium,Moderately Irrigated,35.93064883095398
MADHYA PRADESH,Singrauli,Q3,60.79466642638994,Low,Low,Sparsely Irrigated,11.23437175237176
MADHYA PRADESH,Vidisha,Q2,46.42691576504348,Medium,Medium,Highly Irrigated,64.72362937672985
MAHARASHTRA,Ahmadnagar,Q1,15.00937228135561,High,High,Moderately Irrigated,23.97827383
MAHARASHTRA,Amravati,Q2,45.490434706956,Medium,Medium,Sparsely Irrigated,8.960674157
MAHARASHTRA,Buldana,Q2,42.14595475304493,Medium,Medium,Rainfed,6.158730159
MAHARASHTRA,Hingoli,Q2,45.5924491903407,Medium,Medium,Moderately Irrigated,40.65671642
MAHARASHTRA,Latur,Q2,44.62147100344763,Medium,Medium,Highly Irrigated,57.26744186
MAHARASHTRA,Nagpur,Q2,49.87488182269554,Medium,Medium,Moderately Irrigated,37.2195122
MAHARASHTRA,Pune,Q1,34.52097036998051,High,High,Moderately Irrigated,27.26480836
MAHARASHTRA,Ratnagiri,Q3,71.42811889830267,Low,Low,Rainfed,3.076923077
MAHARASHTRA,Satara,Q2,40.05221163017944,Medium,Medium,Moderately Irrigated,35.40155116
MAHARASHTRA,Sindhudurg,Q3,64.45445712752952,Low,Low,Sparsely Irrigated,11.9760479
MAHARASHTRA,Solapur,Q1,5.210930349943136,High,High,Moderately Irrigated,26.50366748
MAHARASHTRA,Wardha,Q3,68.65913114605407,Low,Low,Sparsely Irrigated,9.457918552
MEGHALAYA,South West Garo Hills,Q3,64.27574257723361,Low,Low,Sparsely Irrigated,11.23788846415909
MEGHALAYA,West Garo Hills,Q3,58.02607630615722,Low,Low,Rainfed,5.880196278122396
NAGALAND,Dimapur,Q3,62.87190228146351,Low,Low,Moderately Irrigated,40.50955414012739
NAGALAND,Kohima,Q3,60.60247115316182,Low,Low,Rainfed,7.057458286287793
NAGALAND,Mon,Q3,61.0833683619687,Low,Low,Rainfed,3.083961941882409
NAGALAND,Peren,Q3,59.97738129560813,Low,Low,Sparsely Irrigated,7.347874491926825
NAGALAND,Phek,Q3,64.20959997208864,Low,Low,Sparsely Irrigated,7.594380602614224
NAGALAND,Tuensang,Q3,56.62088149150053,Low,Low,Rainfed,4.285466025603893
NAGALAND,Wokha,Q3,58.47939130086414,Low,Low,Rainfed,6.089378947303688
NAGALAND,Zunheboto,Q3,56.63376430049495,Low,Low,Rainfed,4.492625298138975
ODISHA,Baleshwar,Q3,65.46697773719856,Low,Low,Sparsely Irrigated,22.65354578482135
ODISHA,Bhadrak,Q3,56.41404921238517,Low,Low,Moderately Irrigated,24.92927435699212
RAJASTHAN,Bhilwara,Q2,41.20288913125208,Medium,Medium,Sparsely Irrigated,23.20599803247011
