state_name,district_name,food_TKcal,food_no_coconut_TKcal,total_TKcal,coconut_kcal_share,z_food,z_food_nc,z_total,tag_food,tag_food_nc,tag_total,kcal_per_hectare,food_crop_kcal_share
Andaman And Nicobar Islands,Nicobars,0.04676657542064317,0.0061628795382902375,0.04676657542064317,0.8682204227515473,-0.6886369086573212,-0.6993060712701825,-0.6886369086573212,Low,Low,Low,2620657.314438426,1.0
Andaman And Nicobar Islands,North And Middle Andaman,0.10094344637490092,0.09230285099028554,0.10094344637490092,0.0855983790421071,-0.6691524030302698,-0.6683137459232792,-0.6691524030302698,Low,Low,Low,6133983.112040436,1.0
Andaman And Nicobar Islands,South Andamans,0.06489838357444444,0.05451450157444444,0.06489838357444444,0.1600021668966335,-0.6821158728023778,-0.6819096271347198,-0.6821158728023778,Low,Low,Low,5696944.074405874,1.0
Andhra Pradesh,Anantapur,4.941576442470245,4.93867152217793,4.941576442470245,0.0005878529505988,1.0717628471425185,1.0753626458455674,1.0717628471425185,High,High,High,3294959.404350895,0.9803521289212672
Andhra Pradesh,Chittoor,3.605354414918733,3.5896861686019435,3.605354414918733,0.0043458269322858,0.5911956760188907,0.5900108136879094,0.5911956760188907,Medium,Medium,Medium,8253586.671664231,0.9990827489083532
Andhra Pradesh,East Godavari,8.026436586091691,7.674601434039903,8.026436586091691,0.0438345395591181,2.1812210673820713,2.0597236634482323,2.1812210673820713,High,High,High,12290858.129373563,0.9715817664640674
Andhra Pradesh,Guntur,6.339124417598024,6.33784280899355,6.339124417598024,0.0002021743887713,1.574385662115399,1.5787708894993389,1.574385662115399,High,High,High,8134232.648879663,0.772231198740835
Andhra Pradesh,Kadapa,2.485221505327244,2.484688459160665,2.485221505327244,0.0002144863809669,0.18834413447437848,0.19244336687638974,0.18834413447437848,Medium,Medium,Medium,5756221.505393371,0.9444514033679912
Andhra Pradesh,Karimnagar,5.169350021833639,5.169350021833639,5.169350021833639,0.0,1.1536807488343086,1.1583585302341457,1.1536807488343086,High,High,High,8566957.377358604,0.781089854251039
Andhra Pradesh,Khammam,2.713174055967466,2.707900188441739,2.713174055967466,0.0019437999247146,0.27032640250532813,0.2727527797832558,0.27032640250532813,Medium,Medium,Medium,5895516.853199494,0.7272955124656018
Andhra Pradesh,Krishna,6.965549369921191,6.952468158343243,6.965549369921191,0.0018779870593459,1.7996770141901897,1.7999071224514867,1.7996770141901897,High,High,High,11563381.10149149,0.9176360063682392
Andhra Pradesh,Kurnool,5.168429274306787,5.1659935439201625,5.168429274306787,0.0004712709137248,1.1533496054874885,1.1571509020708126,1.1533496054874885,High,High,High,4784176.084072457,0.8592871019507914
Andhra Pradesh,Medak,3.416035540961293,3.416018669498293,3.416035540961293,4.938901483224108e-06,0.5231078628994275,0.5275269337460304,0.5231078628994275,Medium,Medium,Medium,6471639.436225887,0.9271845090465388
Andhra Pradesh,Nalgonda,3.139121800841368,3.138999001840368,3.139121800841368,3.91189029259988e-05,0.423516889250727,0.4278579470627692,0.423516889250727,Medium,Medium,Medium,4977959.871555951,0.7960362477258938
Andhra Pradesh,Nizamabad,3.9422967988049122,3.942265898640512,3.9422967988049122,7.838112140457622e-06,0.7123757231346687,0.7168655771605008,0.7123757231346687,Medium,Medium,Medium,9825615.915137772,0.9614946219162958
Andhra Pradesh,Prakasam,2.7498205224997583,2.749229271466864,2.7498205224997583,0.0002150144084157,0.28350616484270763,0.28762258256833867,0.28350616484270763,Medium,Medium,Medium,4701572.005096793,0.7939072957213477
Andhra Pradesh,Rangareddi,1.1460907845401123,1.1460335274859303,1.1460907845401123,4.99585678151958e-05,-0.29326913711091424,-0.28919167978508553,-0.29326913711091424,Low,Low,Low,4150235.255112755,0.8984961635467064
Andhra Pradesh,Sri Potti Sriramulu Nellore,3.81701158175159,3.8131902742914843,3.81701158175159,0.0010011254559389,0.6673173712279503,0.6704254207876944,0.6673173712279503,Medium,Medium,Medium,11371044.115613803,0.9493172529021514
Andhra Pradesh,Srikakulam,2.510167896167655,2.4290273300920755,2.510167896167655,0.0323247565230431,0.19731600907959515,0.17241703308277975,0.19731600907959515,Medium,Medium,Medium,6106557.243377905,0.965714672949858
